example_id                              | status | run_time        |
--------------------------------------- | ------ | --------------- |
./spec/models/book_spec.rb[1:1]         | passed | 0.00269 seconds |
./spec/models/book_spec.rb[1:2]         | passed | 0.00368 seconds |
./spec/models/book_spec.rb[1:3]         | passed | 0.00284 seconds |
./spec/models/book_spec.rb[1:4]         | passed | 0.00363 seconds |
./spec/models/book_spec.rb[1:5]         | passed | 0.00376 seconds |
./spec/models/user_spec.rb[1:1]         | passed | 0.0058 seconds  |
./spec/models/user_spec.rb[1:2]         | passed | 0.03318 seconds |
./spec/requests/books_spec.rb[1:1:1]    | passed | 0.36173 seconds |
./spec/requests/books_spec.rb[1:1:2]    | passed | 0.02483 seconds |
./spec/requests/books_spec.rb[1:1:3]    | passed | 0.01706 seconds |
./spec/requests/books_spec.rb[1:1:4]    | passed | 0.01483 seconds |
./spec/requests/books_spec.rb[1:1:5]    | passed | 4.16 seconds    |
./spec/requests/user_books_spec.rb[1:1] | passed | 0.45396 seconds |
